2,2
4,2
6,3
8,3
10,6
12,7
14,8
16,13
18,11
20,15
22,17
24,18
26,18
28,16
30,16
32,17
34,17
36,17
38,15
40,16
42,15
44,15
46,15
48,15
50,17
52,16
54,15
56,22
58,18
60,17
62,17
64,16
66,17
68,16
70,16
72,17
74,18
76,17
78,16
80,17
82,18
84,17
86,17
88,17
90,17
92,17
94,18
96,17
98,16
100,17
102,16
104,17
106,18
108,17
110,17
112,19
114,18
116,18
118,17
120,18
122,18
124,18
126,17
128,18
130,18
132,18
134,17
136,17
138,18
140,16
142,17
144,17
146,17
148,17
150,17
152,18
154,18
156,17
158,17
160,16
162,17
164,17
166,18
168,18
170,17
172,17
174,18
176,18
178,7
180,18
182,18
184,18
186,18
188,18
190,18
192,18
194,18
196,18
198,18
200,18
